,Year,January: Total,February: Total,March: Total,May: Total,June: Total,July: Total,August: Total,September: Total,October: Total,November: Total,December: Total,January- February (winter): Total,March-may (pre-monsoon): Total,June- September (monsoon): Total,October- December (post-monsoon): Total,January - December (Whole Year): Total
83,1974,0,0,0,2,1,0,2,2,3,1,0,0,3,5,4,12
84,1975,1,0,0,3,4,1,2,2,4,3,0,1,3,9,7,20
85,1976,0,0,0,1,0,1,3,1,2,4,1,0,2,5,7,14
86,1977,0,0,0,1,1,3,3,3,2,5,0,0,1,10,7,18
87,1978,0,0,0,1,2,2,2,3,2,2,0,0,1,9,4,14
88,1979,0,0,0,1,3,1,2,1,1,2,0,0,1,7,3,11
89,1980,0,0,0,1,2,0,3,2,3,1,2,0,1,7,6,14
90,1981,0,0,0,0,1,0,3,3,2,2,1,0,0,7,5,12
91,1982,0,0,0,2,1,2,5,2,3,4,1,0,2,10,8,20
92,1983,0,0,0,0,2,0,1,1,2,1,1,0,0,4,4,8
93,1984,0,0,0,0,1,1,1,0,1,2,1,0,0,3,4,7
94,1985,0,0,0,2,0,0,4,2,4,2,1,0,2,6,7,15
95,1986,1,0,0,0,0,1,3,1,0,2,0,1,0,5,2,8
96,1987,1,0,0,0,1,0,1,2,2,1,1,1,0,4,4,9
97,1988,0,0,0,0,2,1,1,0,2,2,1,0,0,4,5,9
98,1989,0,0,0,1,3,1,1,0,1,3,0,0,1,5,4,10
99,1990,0,0,0,2,1,0,2,1,2,2,1,0,2,4,5,11
100,1991,0,0,0,1,0,1,1,1,2,1,0,0,2,3,3,8
101,1992,0,0,0,1,2,1,0,0,3,3,2,0,1,3,8,12
102,1993,0,0,0,0,1,0,0,0,0,2,2,0,0,1,4,5
103,1994,0,0,1,0,1,0,1,0,2,2,0,0,2,2,4,8
104,1995,0,0,0,3,0,0,0,2,1,2,0,0,3,2,3,8
105,1996,0,0,0,1,2,1,0,0,3,2,0,0,1,3,5,9
106,1997,0,0,0,1,1,1,3,1,0,2,0,0,1,6,2,9
107,1998,0,0,0,2,2,0,0,2,4,2,1,0,2,4,7,13
108,1999,0,1,0,1,2,1,1,0,2,0,1,1,1,4,3,9
109,2000,0,0,1,0,0,0,1,1,2,1,1,0,1,2,4,7
110,2001,0,0,0,1,1,0,0,1,2,1,0,0,1,2,3,6
111,2002,0,0,0,2,0,0,0,0,1,2,1,0,2,0,4,6
112,2003,0,0,0,1,0,1,1,0,2,1,1,0,1,2,4,7
113,2004,0,0,0,2,2,0,0,2,2,2,0,0,2,4,4,10
114,2005,1,0,0,0,2,1,0,3,1,2,2,1,0,6,5,12
