,Year,January: AS,March: AS,May: AS,June: AS,July: AS,August: AS,September: AS,October: AS,November: AS,December: AS,January- February (winter): AS,March-may (pre-monsoon): AS,June- September (monsoon): AS,October- December (post-monsoon): AS,January - December (Whole Year): AS
88,1979,0,0,0,1,0,0,1,0,1,0,0,0,2,1,3
89,1980,0,0,0,1,0,0,0,1,1,0,0,0,1,2,3
90,1981,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
91,1982,0,0,0,0,1,0,0,1,3,0,0,0,1,4,5
92,1983,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
93,1984,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2
94,1985,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2
95,1986,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
96,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1988,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
98,1989,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
99,1990,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
100,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1992,0,0,0,1,0,0,0,1,0,2,0,0,1,3,4
102,1993,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
103,1994,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2
104,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
105,1996,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2
106,1997,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
107,1998,0,0,1,1,0,0,1,2,0,1,0,1,2,3,6
108,1999,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
109,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2001,0,0,1,0,0,0,1,1,0,0,0,1,1,1,3
111,2002,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
112,2003,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
113,2004,0,0,1,1,0,0,1,0,2,0,0,1,2,2,5
114,2005,0,0,0,1,0,0,1,0,0,0,0,0,2,0,2
115,2006,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
116,2007,0,0,0,2,0,0,0,1,0,0,0,0,2,1,3
117,2008,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2
118,2009,0,0,0,2,0,0,0,0,1,0,0,0,2,1,3
119,2010,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
120,2011,0,0,0,1,0,0,0,1,2,1,0,0,1,4,5
121,2012,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
122,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
123,2014,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2
124,2015,0,0,0,2,0,0,0,2,1,0,0,0,2,3,5
125,2016,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2
